"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",8.51260706460704e-256,2.04539968338543,0.711,0.298,3.11459267279842e-251,"1","CEACAM7"
"2",6.14503779206993e-235,1.72170461897144,0.783,0.413,2.24834642736254e-230,"1","LYPD2"
"3",5.53276719084825e-90,1.92996981995516,0.334,0.119,2.02432885978756e-85,"1","CEACAM5"
"4",1.36544648588797e-44,1.77201546717159,0.289,0.144,4.99589560256689e-40,"1","APOBEC3A"
"5",3.28864708361113e-39,1.20242215649435,0.238,0.109,1.20325019495164e-34,"1","LRRC26"
"6",1.2941727806819e-28,1.14135730446514,0.2,0.098,4.73511936995892e-24,"1","ATP6V1C2"
"7",7.27501324051672e-27,1.20136461382941,0.166,0.075,2.66178184444026e-22,"1","ASPG"
"8",4.78694269948738e-26,1.16171665772017,0.187,0.092,1.75144659488844e-21,"1","PLAAT2"
"9",5.53808509257233e-24,1.32453551967218,0.174,0.086,2.02627457367036e-19,"1","CYP26A1"
"10",1.20562851398544e-09,1.22858212188302,0.093,0.052,4.41115360696994e-05,"1","KRT78"
"11",2.55484516539018e-222,1.95197989574344,0.66,0.237,9.34766749112958e-218,"2","PLAT"
"12",2.09095925531096e-143,3.20586508200428,0.24,0.028,7.65040172333176e-139,"2","CLCA2"
"13",9.20652785764104e-119,1.69463616338498,0.458,0.169,3.3684844125537e-114,"2","TNS4"
"14",1.62905130629995e-118,2.53325851545631,0.26,0.048,5.96037291949028e-114,"2","ANXA8"
"15",3.34230913973608e-100,1.65075113919349,0.386,0.136,1.22288406804664e-95,"2","TP63"
"16",1.01038029588107e-89,2.2593804768929,0.247,0.061,3.69677942656966e-85,"2","LAMB1"
"17",6.75145357676846e-70,2.65476247297953,0.154,0.028,2.47022183466805e-65,"2","VSNL1"
"18",3.24510594333189e-63,2.23277717357798,0.187,0.048,1.18731936254627e-58,"2","CEL"
"19",1.90677005101668e-61,2.01583465053464,0.184,0.047,6.97649026265983e-57,"2","SNCG"
"20",7.4871525513051e-40,1.63493512394646,0.161,0.053,2.73939937547151e-35,"2","NSG1"
"21",0,2.86286406136653,0.961,0.521,0,"3","PLA2G2A"
"22",9.99693189956236e-165,1.50326322590903,0.866,0.618,3.65767744341188e-160,"3","RARRES1"
"23",2.22811333642041e-131,1.37538376962284,0.906,0.73,8.15222107529498e-127,"3","WFDC2"
"24",1.94683034550683e-119,2.78398890507361,0.414,0.133,7.12306286814037e-115,"3","SMR3A"
"25",1.80162529037733e-95,2.57763749294739,0.276,0.066,6.59178661243258e-91,"3","PI3"
"26",7.87490010292223e-84,1.60010080133191,0.391,0.145,2.88126844965718e-79,"3","FOXC2"
"27",2.4314577419507e-75,1.65945175412592,0.395,0.161,8.89621758624923e-71,"3","ANTXR1"
"28",5.6405624571922e-66,1.35169855279311,0.427,0.196,2.06376899183748e-61,"3","CYP4X1"
"29",1.59853959975826e-53,1.62657922939747,0.279,0.106,5.84873668759553e-49,"3","VTCN1"
"30",3.49754920545507e-44,1.30169153965444,0.361,0.181,1.2796833032919e-39,"3","ADH1C"
"31",3.35013077097377e-117,1.51963778064232,1,0.964,1.22574584648388e-112,"4","MALAT1"
"32",7.67449108627513e-67,1.24787794108517,0.997,0.878,2.80794279864635e-62,"4","NEAT1"
"33",7.15771410602701e-29,1.25411601444842,0.636,0.362,2.61886443711316e-24,"4","POLR2J3"
"34",6.07512773012281e-27,1.30882173048225,0.706,0.482,2.22276773389733e-22,"4","TNNI2"
"35",3.92212809457296e-23,1.43514070906316,0.479,0.246,1.43502822724236e-18,"4","GABPB1-AS1"
"36",3.31172685100663e-17,1.94110968942949,0.336,0.165,1.2116946202463e-12,"4","XIST"
"37",4.37398995455957e-10,1.27055778766749,0.308,0.179,1.60035544457425e-05,"4","AC004951.1"
"38",2.39512487612326e-06,1.37499464851138,0.171,0.091,0.0876328289675979,"4","KCNQ1OT1"
"39",8.19462177363049e-05,1.9101037262037,0.094,0.045,1,"4","LUCAT1"
"40",0.00217850338481411,2.40271602758667,0.175,0.121,1,"4","AL627171.2"
"41",2.35440592037145e-254,5.07806796854904,0.76,0.035,8.61430038145506e-250,"5","IL2RG"
"42",4.17382700572736e-195,4.97727992349992,0.85,0.067,1.52711982485553e-190,"5","PPP1R18"
"43",1.05612009260212e-178,6.74593660791538,0.91,0.094,3.86413219481264e-174,"5","CHI3L1"
"44",6.31756778331475e-171,4.70755634280375,0.65,0.041,2.3114717005592e-166,"5","HVCN1"
"45",4.59110757949667e-166,4.96032241318372,0.96,0.115,1.67979444118624e-161,"5","LYZ"
"46",4.81855125028345e-162,4.79485124160066,0.55,0.029,1.76301153145371e-157,"5","ITGB2"
"47",4.83610227932129e-101,4.48380547975971,0.97,0.244,1.76943310195807e-96,"5","HLA-DQB1"
"48",8.64867081759354e-87,4.13811199910307,0.59,0.071,3.16437567874112e-82,"5","RSAD2"
"49",1.19844698509369e-77,4.13555006550018,0.99,0.408,4.3848778290608e-73,"5","HLA-DPA1"
"50",5.54104352774993e-75,4.96507064736128,0.99,0.48,2.02735700593314e-70,"5","IFI30"
"51",4.52702769041699e-139,4.69157822356121,0.826,0.042,1.65634889136977e-134,"6","IL2RG"
"52",3.36943600051646e-130,4.67806989672653,0.717,0.033,1.23280924386896e-125,"6","ITGB2"
"53",3.30351532746001e-103,4.42804067319967,0.913,0.074,1.20869018801107e-98,"6","PPP1R18"
"54",8.2347270023388e-99,4.90471942821184,1,0.102,3.01292191561572e-94,"6","CHI3L1"
"55",1.00930518594856e-98,4.4757900846025,0.978,0.092,3.69284581434857e-94,"6","MAFF"
"56",3.31010657351725e-64,4.65889857410536,1,0.172,1.21110179311849e-59,"6","MMP7"
"57",1.90076399911571e-56,5.14974113912752,1,0.228,6.95451531996457e-52,"6","GM2A"
"58",2.44053447307324e-53,5.93553944263507,1,0.25,8.92942753008036e-49,"6","LIPA"
"59",1.04491654397596e-36,4.52560990534159,1,0.496,3.82314065109923e-32,"6","GPNMB"
"60",1.69525391563574e-35,4.27795722965574,1,0.581,6.20259502652803e-31,"6","SH3BGRL3"
"61",2.83827875677223e-27,2.50919016247044,0.978,0.471,1.03846943152782e-22,"7","CEACAM7"
"62",8.2711479652973e-26,2.68194513747169,0.778,0.207,3.02624761754298e-21,"7","CEACAM5"
"63",8.25436520285357e-18,1.83511659726828,0.844,0.327,3.02010714042007e-13,"7","PDZK1IP1"
"64",1.25602116578827e-17,2.30512528408825,0.711,0.252,4.59553024138611e-13,"7","NCCRP1"
"65",8.40546350228912e-12,2.20575463184141,0.844,0.482,3.07539098621754e-07,"7","AD000090.1"
"66",7.04617047061502e-10,2.73313033703588,0.244,0.047,2.57805285178863e-05,"7","DIO2"
"67",4.36922705412423e-07,1.85368581614979,0.311,0.092,0.0159861279456297,"7","BCL2L15"
"68",1.55846285551487e-05,1.73851604572961,0.311,0.109,0.570210389575779,"7","CLEC7A"
"69",5.91570820198242e-05,1.75672884898764,0.289,0.106,1,"7","EPHX3"
"70",0.000637784423060247,1.69118857396257,0.289,0.122,1,"7","CYP26A1"
"71",5.27565273848362e-218,6.56314137851352,0.93,0.031,1.93025582395639e-213,"8","TAGLN"
"72",4.17313913681818e-107,8.35787982834767,1,0.091,1.52686814737903e-102,"8","COL1A1"
"73",5.93959956966072e-104,5.03920062740975,0.791,0.051,2.17318069054746e-99,"8","FSTL1"
"74",1.78001537854234e-87,4.67972906743408,0.86,0.075,6.5127202670107e-83,"8","LAMC1"
"75",3.55056281612035e-66,4.710880507156,0.953,0.14,1.29907992316211e-61,"8","TPM1"
